age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,prénom,téléphone
49,services,divorced,tertiary,no,117,yes,no,cellular,13,may,49,3,93,0,unknown,sondra,3358853
33,technician,married,secondary,no,7,no,no,telephone,7,nov,342,3,350,0,unknown,jewel,3353390
31,blue-collar,single,secondary,no,2196,no,no,cellular,7,feb,278,2,-1,0,unknown,krikor,3360074
36,technician,married,secondary,no,1220,yes,no,unknown,28,nov,13,2,-1,2,failure,tracy,3354300
39,retired,single,secondary,no,4471,no,no,cellular,17,jul,285,1,-1,0,unknown,carry,3355253
59,housemaid,married,tertiary,no,130,no,no,cellular,7,aug,98,1,-1,0,unknown,mabon,3352984
41,housemaid,single,tertiary,no,-26,yes,yes,cellular,7,feb,401,6,-1,0,unknown,ram,3357250
31,retired,married,tertiary,no,0,no,no,unknown,14,aug,430,4,-1,0,unknown,katinka,3358479
64,blue-collar,single,secondary,no,1729,no,yes,cellular,2,jun,25,3,119,0,failure,elina,3352767
28,management,married,tertiary,no,523,no,yes,cellular,14,may,1144,2,-1,0,unknown,indiana,3350877
20,technician,single,primary,no,14,yes,no,telephone,16,jul,302,1,120,0,unknown,sameera,3359914
40,unemployed,married,secondary,yes,388,yes,no,telephone,27,apr,176,1,-1,0,unknown,corrie,3354558
31,admin.,divorced,unknown,no,2033,no,yes,cellular,23,jul,588,3,95,0,success,melvyn,3359273
26,management,single,tertiary,no,1240,yes,no,cellular,23,may,88,1,-1,10,unknown,rachael,3358521
30,blue-collar,single,primary,no,2776,no,no,cellular,28,aug,676,4,102,0,success,charna,3351757
31,services,single,secondary,no,4380,yes,no,cellular,29,jun,355,2,-1,0,success,shahrokh,3351285
31,technician,married,secondary,no,934,no,no,cellular,3,jun,622,2,-1,0,failure,libitina,3360458
38,services,single,tertiary,no,713,yes,no,cellular,16,apr,169,1,-1,6,unknown,liviu,3357040
92,services,married,tertiary,no,487,yes,no,unknown,30,nov,301,3,180,1,unknown,calanthia,3361048
39,management,married,secondary,no,342,yes,no,telephone,28,oct,489,1,-1,0,failure,nasir,3352342
26,retired,single,secondary,no,4054,yes,no,unknown,11,jun,426,3,174,0,unknown,aemilia,3351827
56,blue-collar,single,tertiary,no,-36,no,no,cellular,23,apr,532,1,-1,0,unknown,herk,3357174
38,technician,divorced,secondary,no,0,no,no,cellular,8,aug,365,2,-1,0,unknown,aeron (1),3350020
43,admin.,married,tertiary,no,172,yes,no,cellular,12,sep,845,2,-1,0,unknown,nadja,3359841
33,blue-collar,single,secondary,no,558,yes,no,cellular,21,may,382,2,-1,0,unknown,barbara,3360915
29,admin.,married,secondary,yes,625,yes,no,unknown,13,apr,328,2,-1,0,unknown,cliff,3358248
55,management,married,tertiary,no,448,yes,no,unknown,18,nov,765,2,-1,0,unknown,janna,3355319
77,technician,married,secondary,no,35,yes,no,cellular,25,jul,784,2,287,0,unknown,jeannine,3358913
27,retired,single,unknown,no,6170,no,no,cellular,7,mar,751,1,-1,0,unknown,dax,3360380
40,technician,married,tertiary,no,545,no,no,telephone,17,aug,131,1,-1,0,other,ulyssa,3352396
32,management,married,tertiary,no,438,no,no,cellular,26,jan,186,1,-1,1,unknown,augustine,3352694
29,management,married,secondary,no,0,no,no,unknown,21,may,205,16,-1,0,unknown,thorborg,3360226
26,management,married,unknown,no,4596,no,no,cellular,31,jul,26,1,-1,0,success,grahame,3359425
34,entrepreneur,married,primary,no,-203,no,no,cellular,29,may,286,3,-1,0,unknown,santeri,3351738
60,student,single,secondary,no,606,no,no,unknown,9,may,61,2,-1,0,unknown,sapphire,3351709
32,entrepreneur,divorced,tertiary,no,-306,no,no,cellular,6,may,222,1,102,1,unknown,caius,3352243
56,admin.,married,tertiary,no,-448,no,no,cellular,6,aug,244,1,-1,0,unknown,cuc,3360463
39,services,married,tertiary,no,911,yes,no,unknown,25,may,175,10,-1,0,other,toria,3357630
23,services,married,secondary,no,747,no,no,cellular,17,may,298,3,344,0,unknown,gwynedd,3355801
45,management,single,tertiary,no,1217,yes,no,cellular,16,aug,111,1,-1,0,other,peninnah,3353225
19,admin.,divorced,secondary,no,1511,yes,no,cellular,22,jun,170,7,334,0,unknown,andela,3354498
50,management,married,tertiary,no,0,yes,no,cellular,25,aug,140,4,-1,0,unknown,pàl,3358781
39,blue-collar,married,secondary,no,5303,yes,no,cellular,9,feb,125,1,-1,3,unknown,kimberley,3351049
35,management,married,secondary,no,608,no,no,cellular,11,feb,71,2,439,3,other,lexie,3351959
28,retired,married,secondary,no,-84,no,no,unknown,2,apr,76,2,-1,0,unknown,kenji,3350783
59,management,single,tertiary,no,1093,no,no,cellular,13,may,594,2,96,0,unknown,casper,3360740
43,housemaid,divorced,secondary,no,1515,yes,no,cellular,22,aug,427,1,-1,0,unknown,gunter,3351604
51,entrepreneur,married,primary,no,926,yes,yes,cellular,3,may,641,1,184,2,failure,hashim,3356569
29,management,divorced,tertiary,no,1429,no,no,cellular,22,may,20,3,-1,0,unknown,leith,3354715
34,management,married,tertiary,no,68,yes,no,unknown,10,apr,564,1,-1,1,failure,basma,3354935
50,services,married,tertiary,no,1830,no,no,telephone,12,apr,106,1,-1,0,unknown,fritzi,3360517
33,blue-collar,married,tertiary,no,71,yes,no,cellular,5,nov,242,1,91,3,failure,meredith,3360737
56,blue-collar,married,primary,no,3331,no,no,unknown,9,may,411,2,-1,0,unknown,mats,3355618
28,blue-collar,married,secondary,no,183,no,no,cellular,14,jul,108,2,-1,0,unknown,culhwch,3360105
56,services,single,secondary,no,-315,yes,no,unknown,13,may,214,2,-1,2,unknown,twila,3360994
35,admin.,married,tertiary,no,102,yes,yes,cellular,4,jan,210,1,-1,0,unknown,clemency,3355061
34,management,married,tertiary,no,68,no,no,cellular,5,aug,425,1,144,0,unknown,millard,3350333
33,technician,married,tertiary,no,153,no,yes,cellular,21,may,47,3,-1,0,success,mathúin,3356913
56,services,single,secondary,no,3003,no,no,cellular,7,jul,252,2,-1,1,unknown,nova,3360348
38,admin.,single,primary,no,64,no,no,cellular,21,nov,342,2,6,4,unknown,gerry,3359666
34,admin.,married,primary,no,755,yes,no,unknown,26,jul,361,1,187,0,failure,gunnar,3359768
22,technician,divorced,secondary,no,469,no,no,cellular,9,jul,343,4,-1,0,unknown,hartley,3359499
37,student,divorced,secondary,no,1139,no,yes,cellular,25,feb,246,2,276,0,unknown,marinda,3359815
39,technician,single,primary,no,1114,no,no,cellular,15,apr,128,7,-1,0,unknown,stew,3360833
46,entrepreneur,divorced,secondary,no,1199,yes,no,unknown,15,aug,101,3,-1,0,unknown,bozydar,3358457
34,admin.,single,primary,no,1079,no,no,unknown,6,dec,409,1,-1,0,success,noll,3350602
38,unemployed,single,secondary,no,271,yes,no,cellular,27,may,393,1,-1,0,unknown,mirabelle,3358190
77,management,divorced,secondary,no,133,no,no,unknown,18,aug,237,4,-1,0,unknown,flora,3351641
81,blue-collar,single,primary,no,644,no,no,unknown,28,jun,150,1,-1,0,unknown,pantheras,3359547
39,technician,married,tertiary,no,136,yes,no,cellular,9,may,97,1,-1,1,unknown,papillion,3358577
48,admin.,single,secondary,no,-15,no,no,cellular,16,may,168,3,-1,4,unknown,asim,3359442
30,technician,married,secondary,no,222,yes,no,unknown,14,apr,271,3,-1,0,unknown,grisha,3352575
48,management,married,secondary,no,0,no,yes,unknown,30,may,261,2,194,0,unknown,ron (1),3352139
41,unemployed,married,tertiary,no,0,yes,no,unknown,14,sep,145,1,-1,2,unknown,kelsie,3351557
45,management,divorced,secondary,no,1818,no,yes,cellular,28,oct,1249,5,93,2,failure,báirbre,3357930
48,self-employed,divorced,secondary,no,666,yes,no,telephone,23,may,97,2,-1,0,failure,marlin,3355138
30,admin.,married,secondary,no,0,yes,no,telephone,13,oct,268,1,-1,0,unknown,eugene,3357721
42,management,single,secondary,no,135,yes,no,cellular,14,aug,1365,1,-1,0,unknown,arlie,3353346
25,retired,married,secondary,no,109,no,yes,cellular,30,aug,500,1,-1,0,failure,gennady,3353182
39,technician,single,tertiary,no,113,yes,no,telephone,28,aug,478,3,-1,1,unknown,atílio,3351284
58,management,married,secondary,no,2998,no,no,unknown,5,feb,105,2,-1,4,failure,sieghard,3354731
37,blue-collar,married,tertiary,no,169,no,no,cellular,17,apr,171,1,88,0,unknown,iyov,3352821
38,admin.,married,secondary,no,1903,no,yes,unknown,12,jul,268,1,-1,0,other,aleksandrina,3354605
39,management,married,tertiary,no,3913,no,no,cellular,18,may,161,2,-1,0,unknown,thoth,3360007
52,management,married,tertiary,no,99,yes,no,cellular,21,sep,658,2,-1,0,unknown,maighread,3355125
24,admin.,single,secondary,no,478,no,yes,cellular,19,jun,73,2,357,3,unknown,bharat,3360435
37,management,single,secondary,no,309,yes,yes,cellular,15,nov,327,2,-1,0,unknown,sheine,3351633
27,housemaid,married,secondary,no,335,yes,yes,cellular,25,jun,556,3,-1,0,unknown,eugenia,3355271
56,retired,married,secondary,no,8535,yes,no,cellular,6,sep,190,1,-1,0,unknown,áron,3352994
51,admin.,divorced,secondary,no,120,no,no,cellular,17,jul,801,1,-1,0,failure,feliu,3355909
66,retired,single,secondary,no,-504,yes,no,cellular,28,apr,60,2,347,1,success,klavdiya,3351058
34,services,single,secondary,no,153,no,no,unknown,16,jun,237,6,-1,2,unknown,bee,3360829
32,management,single,secondary,no,0,no,no,cellular,30,nov,159,1,325,0,unknown,alpha,3356639
41,admin.,single,secondary,no,2,yes,no,cellular,14,apr,92,1,-1,0,unknown,hajnalka,3354784
31,entrepreneur,single,secondary,no,100,no,no,cellular,10,feb,138,1,92,1,success,muhsina,3355855
33,technician,married,secondary,no,-14,yes,no,cellular,22,sep,115,6,-1,2,failure,martijn,3357744
41,blue-collar,single,secondary,no,202,no,no,cellular,8,nov,205,2,-1,2,unknown,lesedi,3350276
53,blue-collar,single,secondary,no,1925,yes,no,cellular,3,jun,595,1,92,0,unknown,dorian,3356517
61,blue-collar,single,secondary,no,777,no,no,unknown,30,apr,305,3,365,2,unknown,dorotea,3360950
32,management,single,tertiary,no,230,no,no,cellular,5,jan,364,9,-1,0,other,jowita,3357652
34,blue-collar,single,secondary,no,898,yes,no,unknown,28,oct,222,1,-1,1,unknown,noak,3354115
38,blue-collar,divorced,secondary,no,61,no,yes,telephone,28,jun,277,4,41,0,success,aurelius,3361128
52,blue-collar,single,tertiary,no,1367,yes,no,unknown,5,may,267,4,-1,0,other,connor,3355364
38,admin.,single,tertiary,no,10052,no,no,cellular,20,may,164,1,-1,0,unknown,hania,3352934
60,technician,married,secondary,no,2039,yes,no,cellular,25,aug,651,1,-1,4,unknown,harve,3353624
40,blue-collar,married,secondary,no,316,no,no,unknown,17,aug,245,2,-1,0,unknown,pembe,3358991
66,blue-collar,single,tertiary,no,1463,yes,no,cellular,27,may,441,1,-1,0,unknown,bahij,3360432
51,management,single,secondary,no,230,yes,no,cellular,25,oct,189,3,-1,0,unknown,tomislav,3356871
31,retired,married,tertiary,no,825,no,no,cellular,12,may,603,3,-1,2,unknown,basile,3356420
29,management,single,unknown,no,2465,no,no,cellular,7,apr,1237,2,-1,0,unknown,kimo,3360985
31,self-employed,married,secondary,no,194,no,yes,cellular,9,may,473,3,-1,0,success,marcelo,3355252
29,services,married,tertiary,no,9,no,no,unknown,25,may,94,1,458,0,other,diederick,3359433
34,technician,married,primary,no,3434,yes,no,cellular,17,aug,89,1,-1,2,unknown,tabby,3353800
44,blue-collar,married,tertiary,no,206,no,no,unknown,8,aug,467,1,-1,1,unknown,loretta,3360259
31,management,divorced,secondary,no,3733,yes,no,cellular,19,apr,258,9,-1,0,unknown,hannibal,3358165
39,technician,married,tertiary,no,0,yes,no,cellular,31,dec,268,2,-1,0,unknown,fionn,3358760
31,blue-collar,single,tertiary,no,0,no,no,cellular,24,feb,350,3,-1,0,unknown,flavian,3353575
42,admin.,single,secondary,no,1,no,no,cellular,30,apr,202,3,-1,1,unknown,nader,3361118
33,retired,married,tertiary,no,-1,yes,no,cellular,20,aug,125,1,-1,0,unknown,maquinna,3360194
35,blue-collar,divorced,secondary,no,3771,yes,no,cellular,15,aug,234,5,-1,0,success,artair,3361150
57,management,married,secondary,no,163,yes,no,cellular,8,oct,313,1,-1,0,success,damian,3355373
57,admin.,married,tertiary,no,446,yes,no,unknown,7,aug,163,2,-1,0,unknown,sherri,3358346
36,technician,married,secondary,no,65,yes,no,cellular,19,aug,291,5,297,0,success,séverin,3356680
51,management,single,primary,no,977,yes,no,cellular,25,nov,250,3,106,15,unknown,vien,3355920
31,services,single,tertiary,no,757,yes,no,cellular,16,jun,273,1,389,1,unknown,faiga,3352155
27,student,single,tertiary,no,2152,no,no,cellular,18,may,80,1,-1,0,unknown,alesha,3351343
43,technician,divorced,primary,no,846,yes,no,cellular,30,jul,85,2,-1,10,unknown,merritt,3352285
52,blue-collar,married,primary,no,5958,no,yes,cellular,27,jan,54,2,-1,0,unknown,kennard,3354826
32,technician,married,secondary,no,344,yes,no,cellular,11,nov,120,1,-1,6,unknown,irina,3351924
53,management,married,secondary,no,-213,yes,no,cellular,30,may,287,1,-1,0,unknown,anselma,3358017
38,technician,single,tertiary,no,881,no,no,cellular,13,may,260,2,-1,0,other,valerie,3354184
29,management,married,secondary,no,0,yes,yes,cellular,18,aug,90,1,-1,0,unknown,georgeta,3355184
23,retired,married,secondary,no,7641,yes,no,cellular,2,aug,117,1,-1,0,other,géza,3355851
43,self-employed,married,primary,no,378,no,no,cellular,5,jan,436,4,321,0,success,almira,3352057
37,blue-collar,single,tertiary,no,-194,yes,no,unknown,19,jul,152,1,-1,0,unknown,lola,3350446
31,retired,single,secondary,no,262,no,no,cellular,19,aug,371,1,-1,0,other,lexia,3350459
26,student,married,secondary,no,763,no,no,telephone,15,may,301,1,-1,0,unknown,cameron,3360880
31,self-employed,married,secondary,no,8494,yes,no,cellular,5,aug,98,4,-1,0,failure,aletha,3353305
42,management,divorced,tertiary,no,1154,no,yes,cellular,22,mar,600,1,-1,0,success,nevio,3350730
31,blue-collar,single,unknown,no,508,no,no,unknown,29,oct,250,2,103,2,unknown,appius,3354972
31,management,married,secondary,no,625,no,no,telephone,3,oct,18,1,182,0,unknown,alin,3355091
33,blue-collar,married,secondary,no,810,yes,no,unknown,20,may,240,3,99,0,other,anicetus,3353181
29,management,married,primary,no,2227,no,no,cellular,20,may,655,1,91,0,other,earlene,3358950
39,technician,single,secondary,no,0,no,no,cellular,19,may,64,1,-1,10,unknown,bergliot,3354201
26,management,single,primary,no,1780,yes,no,cellular,3,may,351,4,-1,0,unknown,ingvarr,3358698
47,management,married,secondary,no,-41,no,yes,unknown,18,may,189,1,184,1,unknown,stamatis,3354107
38,technician,married,secondary,no,-314,no,no,cellular,30,nov,171,3,-1,0,unknown,fizza,3351071
26,blue-collar,married,secondary,no,243,yes,no,unknown,27,oct,63,1,-1,0,unknown,nyree,3353455
40,retired,married,secondary,no,1103,no,no,unknown,30,jul,339,3,-1,5,unknown,ayesha,3359760
31,management,single,secondary,no,624,yes,no,telephone,6,jul,155,2,-1,11,unknown,sheila,3354642
71,management,single,tertiary,no,783,no,no,cellular,26,mar,469,3,-1,0,unknown,kirsten,3356168
52,admin.,divorced,tertiary,no,127,yes,no,cellular,5,may,317,2,-1,2,failure,candy,3356428
30,technician,single,tertiary,no,8,yes,no,unknown,22,jul,344,1,93,0,success,gallus,3353091
60,retired,married,tertiary,no,1948,no,yes,cellular,27,jan,387,1,-1,0,failure,bala,3352678
37,admin.,married,tertiary,no,247,yes,yes,cellular,14,may,1019,1,-1,0,unknown,percival,3351526
32,self-employed,married,secondary,no,-176,no,no,cellular,19,may,305,1,263,0,unknown,ermolai,3356852
44,admin.,married,secondary,no,1495,yes,no,cellular,2,may,23,1,-1,0,unknown,bonaventure,3359078
58,blue-collar,single,secondary,no,3929,no,no,cellular,30,sep,165,1,-1,0,unknown,ottavio,3350361
31,admin.,single,primary,no,3735,yes,no,unknown,13,oct,220,7,-1,0,unknown,jutte,3356654
29,services,divorced,secondary,no,196,yes,no,cellular,28,oct,120,1,-1,3,unknown,bartolomeo,3350323
57,technician,single,tertiary,no,3237,no,no,cellular,13,sep,1656,1,-1,0,failure,baqir,3358055
54,management,single,secondary,no,664,yes,no,unknown,13,feb,190,1,-1,0,success,anat,3356373
33,technician,single,secondary,no,140,yes,no,cellular,16,dec,1792,2,-1,6,unknown,viorica,3356880
30,services,married,secondary,no,724,no,no,cellular,4,jun,169,3,457,1,other,andraste,3355427
37,technician,married,secondary,no,316,yes,yes,cellular,26,jul,66,1,-1,0,unknown,juvela,3355071
32,retired,married,secondary,no,-2,no,no,unknown,6,jul,1463,1,-1,0,failure,evita,3353694
47,housemaid,single,secondary,no,1159,yes,no,cellular,22,may,343,2,269,0,other,paolino,3350165
53,technician,married,secondary,no,659,no,no,unknown,11,jun,214,3,-1,0,success,beverly,3355227
31,technician,single,unknown,no,-139,yes,yes,cellular,4,apr,72,3,119,0,unknown,brayden,3359030
32,management,married,unknown,yes,22,yes,yes,cellular,29,may,98,2,-1,0,unknown,quinlan,3354852
31,admin.,married,secondary,no,0,yes,no,cellular,18,may,276,2,-1,0,success,kevan,3352392
53,student,married,secondary,no,664,no,yes,cellular,10,jul,158,2,90,0,unknown,tomos,3357451
33,retired,single,tertiary,no,432,no,no,unknown,11,jan,1100,3,275,0,unknown,petar,3352672
51,admin.,married,tertiary,no,47,yes,no,cellular,2,aug,188,1,365,2,unknown,claude,3353166
79,student,married,secondary,no,1376,yes,yes,unknown,6,may,143,3,-1,0,unknown,sholto,3353523
32,management,married,tertiary,no,1730,no,no,cellular,17,may,56,9,85,1,unknown,michiel,3350890
29,technician,married,unknown,no,865,yes,no,telephone,20,may,264,5,-1,0,unknown,amilcar,3350582
47,retired,single,secondary,no,3870,no,no,cellular,20,nov,516,4,-1,4,failure,camryn,3350207
38,self-employed,married,tertiary,no,541,no,yes,cellular,15,jul,150,2,-1,0,unknown,nettie,3358445
24,student,married,secondary,no,1536,no,yes,cellular,26,aug,122,4,-1,0,unknown,ippolit,3352551
33,services,married,tertiary,no,8781,yes,no,cellular,15,nov,277,1,-1,0,unknown,ludoviko,3354034
38,technician,married,primary,no,511,no,no,unknown,9,may,76,2,-1,0,unknown,luke,3353313
39,blue-collar,divorced,secondary,no,403,no,no,cellular,25,apr,240,1,-1,0,success,surendra,3351707
51,management,married,primary,no,11862,no,no,unknown,31,mar,72,2,-1,0,unknown,shyama,3351583
46,management,single,primary,no,468,no,no,cellular,12,nov,274,4,-1,0,unknown,mo,3356391
51,student,married,secondary,yes,5372,no,no,cellular,13,may,351,1,-1,0,unknown,rowland,3350222
23,admin.,single,unknown,no,35,no,no,unknown,4,apr,22,2,-1,1,unknown,benedito,3357940
25,services,married,tertiary,no,321,no,no,cellular,12,aug,146,2,87,0,unknown,curt,3360374
55,retired,married,tertiary,no,559,yes,no,cellular,6,aug,509,1,-1,0,unknown,mckenna,3358847
29,blue-collar,married,secondary,no,318,yes,no,cellular,17,apr,1710,5,-1,0,unknown,rusty,3359169
49,admin.,married,tertiary,no,46,no,no,unknown,3,may,1007,3,-1,0,unknown,lawrie,3356586
53,blue-collar,married,secondary,no,1639,yes,no,cellular,17,nov,520,2,-1,0,unknown,llewellyn,3354799
40,retired,married,tertiary,no,992,no,no,unknown,21,may,669,1,-1,0,unknown,byron,3354295
60,management,married,tertiary,no,24,yes,no,cellular,19,jun,53,4,-1,0,unknown,claudia,3355628
33,management,married,secondary,no,4012,yes,yes,cellular,2,may,404,2,-1,1,unknown,lina (1),3354895
60,self-employed,married,secondary,no,4568,no,no,unknown,11,jul,920,6,-1,0,unknown,mat,3357312
60,entrepreneur,married,primary,no,13849,no,no,unknown,13,jun,329,2,-1,0,unknown,gil (1),3354876
26,technician,married,primary,no,-31,no,no,cellular,16,may,290,2,-1,0,unknown,stanislas,3351621
60,blue-collar,married,tertiary,no,29340,no,no,unknown,7,may,795,1,-1,6,unknown,narinder,3359181
29,housemaid,divorced,secondary,no,46,no,no,cellular,6,jul,265,1,-1,1,failure,egon,3356164
44,technician,married,primary,no,1757,yes,no,cellular,20,aug,345,1,318,2,unknown,piero,3359454
41,blue-collar,single,tertiary,no,0,no,no,cellular,9,jul,426,8,-1,0,success,sandra,3360658
34,entrepreneur,divorced,secondary,no,277,yes,no,cellular,15,jun,61,2,167,0,unknown,spyros,3361089
37,technician,single,tertiary,no,549,yes,no,cellular,29,jan,473,1,354,0,unknown,claudette,3354173
22,management,married,secondary,no,4623,yes,yes,cellular,2,jun,335,2,-1,0,failure,hikmat,3358734
57,technician,single,tertiary,no,279,no,no,cellular,30,aug,496,4,80,2,failure,tadg,3355054
30,blue-collar,single,secondary,no,320,yes,no,cellular,7,may,594,1,173,0,unknown,estella,3358503
29,admin.,married,secondary,no,1187,no,no,cellular,9,aug,908,2,184,0,unknown,karel,3359491
43,student,married,tertiary,no,0,yes,no,unknown,13,aug,988,3,14,0,unknown,aindréas,3351665
52,technician,married,tertiary,no,446,yes,no,cellular,3,jun,287,3,-1,3,failure,olov,3351676
42,technician,married,secondary,no,245,yes,no,cellular,15,jul,79,1,370,0,unknown,gaétan,3360480
37,retired,divorced,secondary,no,56,yes,no,telephone,6,feb,124,3,-1,0,unknown,athanasios,3361060
47,technician,divorced,secondary,no,1595,no,no,telephone,6,jul,1279,2,-1,1,unknown,joaquim,3355303
23,retired,married,secondary,no,773,yes,no,cellular,31,may,1424,2,-1,1,unknown,gisselle,3350807
47,housemaid,married,secondary,no,490,yes,no,cellular,8,may,245,6,-1,0,unknown,plato,3354716
39,management,single,secondary,no,4256,no,no,cellular,17,may,31,3,264,3,unknown,ghassan,3354640
41,blue-collar,single,secondary,no,-365,yes,no,cellular,9,jun,80,1,-1,0,other,vonda,3351306
40,retired,single,tertiary,no,503,yes,no,cellular,9,may,119,3,-1,1,unknown,dieudonnée,3352343
47,unemployed,single,tertiary,no,3623,yes,no,cellular,30,may,585,2,288,5,unknown,lavrenti,3352327
42,self-employed,divorced,primary,no,332,yes,no,cellular,19,may,48,3,-1,0,unknown,timoteus,3355594
77,blue-collar,married,secondary,no,486,yes,no,cellular,12,may,34,2,-1,0,unknown,naphtali,3350063
53,management,married,secondary,no,29184,no,no,cellular,20,may,377,2,-1,0,unknown,günther,3359375
35,blue-collar,married,secondary,no,2305,no,no,unknown,27,jul,1130,5,-1,0,unknown,stamatios,3358497
27,management,married,tertiary,no,953,yes,no,telephone,28,jul,635,1,-1,2,success,guy,3351735
59,technician,married,secondary,no,165,yes,no,unknown,17,nov,970,2,-1,0,success,torcall,3355052
33,admin.,single,primary,no,4787,yes,no,telephone,29,aug,549,1,-1,0,unknown,feardorcha,3354888
31,retired,married,primary,no,34,yes,yes,cellular,28,oct,236,5,92,0,unknown,vittoria,3359239
59,blue-collar,single,primary,no,0,no,no,telephone,2,aug,428,1,-1,0,unknown,monet,3359708
49,technician,single,secondary,no,414,yes,no,unknown,14,jun,194,1,-1,2,unknown,donato,3360728
35,blue-collar,divorced,primary,no,5774,no,no,cellular,4,jun,512,1,-1,4,other,malinda,3355413
30,admin.,divorced,tertiary,no,1327,no,no,cellular,3,may,597,4,-1,1,unknown,deimos,3350822
32,admin.,married,primary,no,1800,yes,no,cellular,13,may,221,5,-1,0,failure,paolo,3350742
41,management,married,secondary,no,62,no,yes,cellular,14,may,1002,1,462,0,unknown,umar,3360817
69,management,married,secondary,no,600,yes,no,cellular,31,feb,432,2,182,0,unknown,fakhri,3359377
56,management,married,tertiary,no,-614,no,no,telephone,2,may,9,1,-1,0,unknown,jephtha,3352925
26,services,married,primary,yes,0,yes,yes,cellular,15,may,22,1,343,0,unknown,aragorn,3351953
46,management,married,tertiary,no,3352,no,no,unknown,30,may,415,1,-1,0,unknown,lesley,3353257
71,admin.,divorced,secondary,no,0,no,no,cellular,23,feb,226,1,-1,4,unknown,rufino,3353662
34,management,married,secondary,no,3415,no,yes,cellular,5,may,459,2,-1,2,unknown,alden,3350930
41,admin.,married,secondary,no,6004,no,no,cellular,9,jun,266,1,94,1,unknown,kenith,3356465
50,management,divorced,tertiary,no,457,yes,no,telephone,8,aug,210,1,-1,1,unknown,bede,3350961
37,blue-collar,divorced,tertiary,no,2875,no,no,cellular,12,aug,249,1,-1,0,unknown,ursella,3359638
30,student,single,primary,no,156,no,no,unknown,20,aug,87,5,-1,0,success,louiza,3355383
39,blue-collar,married,secondary,no,1265,yes,no,unknown,30,jul,274,4,175,0,unknown,mortimer,3360819
49,student,divorced,secondary,no,154,no,no,unknown,31,nov,486,2,-1,0,unknown,gabi,3358484
42,management,single,tertiary,no,2326,no,yes,telephone,3,sep,177,1,83,1,unknown,isolda,3353672
35,technician,divorced,tertiary,no,1189,no,no,unknown,27,jun,213,4,-1,1,unknown,sofiya,3353433
43,unemployed,married,secondary,no,281,yes,no,cellular,22,jul,789,1,-1,0,unknown,sven,3356337
27,management,divorced,secondary,no,2442,no,no,unknown,1,nov,201,8,-1,0,unknown,jitendra,3357049
38,unemployed,married,tertiary,no,67,yes,no,unknown,8,feb,170,1,-1,0,unknown,luchjo,3359003
34,student,single,tertiary,no,999,no,no,cellular,18,jun,457,2,-1,0,unknown,clarinda,3360124
52,management,married,tertiary,no,0,no,no,cellular,27,nov,173,5,101,0,failure,bas,3355145
76,management,married,tertiary,no,3,no,no,cellular,12,jul,605,2,348,0,success,erick,3354128
55,retired,single,primary,no,3189,no,no,cellular,9,jul,229,4,251,0,unknown,sidonius,3355849
30,technician,married,tertiary,no,54,yes,no,cellular,30,may,309,5,-1,0,unknown,korbinian,3360863
38,blue-collar,married,secondary,no,482,no,no,cellular,18,aug,193,2,-1,0,unknown,anona,3357692
35,blue-collar,married,tertiary,no,1230,yes,no,cellular,6,aug,998,1,-1,0,unknown,eamon,3360155
56,entrepreneur,single,tertiary,no,3754,no,no,cellular,5,jul,1093,2,353,0,unknown,concha,3352812
35,self-employed,single,secondary,no,807,no,no,telephone,14,jan,370,2,351,0,other,sobieslaw,3353642
47,technician,married,tertiary,no,2557,no,no,cellular,16,mar,173,3,99,0,unknown,radcliff,3357069
32,services,married,secondary,no,160,no,no,unknown,1,jun,166,6,-1,0,unknown,mechtilde,3351528
76,management,married,tertiary,no,704,no,no,cellular,7,jun,291,2,-1,0,unknown,madison,3358550
35,technician,single,secondary,no,31,no,no,cellular,27,nov,367,1,-1,4,unknown,lis,3361105
25,admin.,married,tertiary,no,2876,no,no,cellular,20,oct,239,3,-1,3,unknown,pàdraig,3359676
44,technician,married,tertiary,no,616,no,no,unknown,28,jul,694,3,-1,1,unknown,thierry,3357407
41,blue-collar,married,primary,no,202,no,no,cellular,13,jun,88,1,-1,2,unknown,erato,3351200
46,blue-collar,single,secondary,no,9447,yes,no,cellular,20,jun,173,1,340,0,unknown,françoise,3354905
81,self-employed,married,tertiary,no,3047,no,no,cellular,11,may,732,1,-1,2,failure,quang,3353352
29,admin.,married,secondary,no,-1386,yes,no,unknown,20,may,604,4,-1,0,failure,bonita,3350467
41,management,single,secondary,no,261,yes,no,unknown,22,apr,94,1,-1,0,unknown,helga,3359220
31,admin.,married,primary,no,889,yes,no,cellular,28,jul,268,1,-1,0,unknown,aretha,3356612
42,management,single,primary,no,644,no,no,cellular,15,jun,411,2,-1,0,success,kolya,3355800
45,technician,married,primary,no,0,no,no,cellular,16,jul,269,2,-1,3,unknown,fareed,3360060
53,self-employed,married,unknown,no,115,yes,no,cellular,21,oct,522,1,-1,7,unknown,vespasian,3356948
53,admin.,single,secondary,no,1443,yes,no,unknown,25,jul,253,6,332,3,unknown,dorothea,3356415
26,admin.,married,secondary,no,456,yes,yes,unknown,9,may,613,1,126,11,failure,taneli,3359506
36,housemaid,married,primary,no,4922,yes,no,unknown,30,feb,894,2,-1,0,failure,lukács,3354503
